,Text
631,"RT @mhmck: Russia is waging an unjust war. Ukraine is the only country fighting the Good Fight. That is plain wrong.

Here's the regional a…"
632,"skin and health problems? Or... these things just happen and everyone is kind and good --- No war (s), etc in Canada just good refugees from war countries and happy survivors, etc?"
633,"RT @Israel_Alma_org: These are the last two ships to leave the port of #Mariupol,Ukraine right before the war and are on their way to Leban…"
634,"@RoseNPeach2 @aginnt This must be remembered 

We all must realize the propaganda that we faced. Identifying propaganda is necessary to win a war"
635,"RT @stillgray: Europe is now ramping up the “war with Russia is not only inevitable, it is a moral necessity” rhetoric. Nice."
636,"i wonder if the reason this lot are so bloodthirsty for war is because they believe deep down it won't affect them personally

they're like the officer class in the first world war. They know they're insulated from the consequences https://t.co/MjJVhPimPr"
637,"RT @carolecadwalla: “NATO is afraid of World War III. But it has already started. And it’s Ukrainian children taking the hit”

Brilliant, i…"
638,@Prasadpkcult Andhuke nenu Mega War's lo Thala Dhurchanu🤣
639,RT @MettaBhavana1: Why is Ben Roberts-Smith not on trail for war crimes and murder?
640,RT @kenklippenstein: Obama’s NSC spokesman responds to NBC reporter suggesting the US/NATO go to war with Russia 👇 https://t.co/dRaa5BXNyX
641,"@spectatorindex the war's not looking good, eh Putin?"
642,RT @LumpyLouish: A war that has been devastating a country for years and no one in America is running off to fight for them. There is no gl…
643,"RT @Xhakaed: So just to be clear, it’s now ok in the U.K. to randomly pack up, go abroad and join fighting in a war the U.K. is not involve…"
644,RT @Independent: President Zelensky says ‘we’re giving away our best people to be treated as equals’ 🚨 https://t.co/a0iyRAcOr0
645,RT @RichardEngel: Perhaps the biggest risk-calculation/moral dilemma of the war so far. A massive Russian convoy is abt 30 miles from Kyiv.…
646,"RT @somnath1978: Kuwait airIift happened ""after"" the shooting war was over and Iraqis were in control. It took several mths to bring the In…"
647,"RT @AlHakamWeekly: Western media’s horrific double standards amid Russia-Ukraine War

“...if you are white, Christian, have ‘Instagram acco…"
648,@tomhfh Not at all. Imposing NFZ is an act of war though.
649,"Belarus joined the Russian invasion of Ukraine on Tuesday, with the country’s troops entering the Chernihiv region in northern Ukraine, Ukrainian authorities confirmed.

-https://t.co/z7RXHRHZKQ"
650,"RT @kylegriffin1: THE HAGUE, Netherlands (AP) — International Criminal Court prosecutor to open probe into possible war crimes or crimes ag…"
651,"RT @sawada46493: 今月47回目 新品Switch プレゼント企画

/
Nintendo Switch lite or ギフト券2万円
\

↑お好きな方選択できます🎁

🍀応募方法
･このツイートRT
･僕と@war_renkun のフォロー

🍀応募締切
3…"
652,"Britische Labour Partei verweigert Erleichterungen zur Einreise von ukrainischen Fluechtlingen. 
😡
Don't even try to explain this to me. 
I do not care any more.

https://t.co/jI3vK3Sb1s"
653,RT @EliotHiggins: I'd rather like the media narrative (and media enquiries I get) to move on from Russian disinformation to documenting war…
654,"RT @ITVNewsPolitics: A Ukrainian reporter broke down as she pleaded with @BorisJohnson for a no-fly-zone over Ukraine

'You’re coming to Po…"
655,"RT @carolecadwalla: “NATO is afraid of World War III. But it has already started. And it’s Ukrainian children taking the hit”

Brilliant, i…"
656,Truth is the first casualty of war. And this is why... https://t.co/aI3PaZAZ7u
657,"RT @mikegalsworthy: An appalling title for an article.

No-one on the side of humanity is having a “good war”. The notion that this is abou…"
658,"RT @Dominic2306: When Russia invaded Hungary in 1956, Eisenhower didnt babble about 'Munich' &amp; start a nuclear war. The West had a patient…"
659,RT @POTUS: I spoke today with Allies and partners to discuss Russia’s unprovoked war on Ukraine. We are continuing our support for the Ukra…
660,RT @TheDSingularity: Why does a 70-year old man start a war that kills a ten year old girl? It's heartbreaking. This is our international p…
661,RT @mikenorman: The 'adults in charge' have bumbled us into a new Cold War https://t.co/d0GkxpTNkp
662,"RT @jeremycorbyn: Nobody wins a war.

War is a defeat for all of us.

https://t.co/683pEtZnFt"
663,RT @DanRather: I am reminded again and again that during war the heart is always heavy. Such sadness and misery. Such loss. And this one. T…
664,"RT @ItsMutai: United Kingdom is threatening Putin that he can be charged for War Crimes

They're saying this while Tony Blair &amp; George Bush…"
665,"A king on a planet fallen and scorched by the flames of war, a bandit on a planet where crystals and sand glitter right and left, a scientist on a lonely planet that has long forgotten how to shine,"
666,"Russian forces determined to use shock and aww tactics, are targeting and bombing civilians in the towns and cities of Ukraine. This is a totally disgusting form of war tactics. I hope all those aggressors rot in hell.  #UkraineUnderAttack https://t.co/bSzwOn6jo0"
667,"NO WAR‼️
子供を巻き込むな💢 https://t.co/N52OhSUNEy"
668,RT @DmytroKuleba: Barbaric Russian missile strikes on the central Freedom Square and residential districts of Kharkiv. Putin is unable to b…
669,RT @CFWIJ: #Ukraine: Reporting from a war zone is incredibly hard. #CFWIJ is closely monitoring the region as #Russian forces escalate atta…
670,"RT @AOtcJdYRQMMDwE2: @DDears00 ""War and Peace"" es mi canción favorita interpretada por Dimash.  Cuando lo escucho, siento cómo el amor sufr…"
671,@fridi007 @karimazerrouki4 I’m not sure what the UN really does besides hold talks since I fail to see their actions but Russia is currently invading Ukraine. Not minimizing what you referenced but there a serious war that could trigger WW3. God forbid.
672,RT @nytimes: President Volodymyr Zelensky of Ukraine pleaded for EU membership for his country in an emotional speech to the European Parli…
673,"7 #Media Confirmations of #Psychic predictions Publication date  :  December 3, 2018 – #JensStoltenberg (#SecretaryGeneral of #NATO) – The present and the #future of #Ukraine, Intervention, Blockade, A withdrawal – hunger and #war, A #nuclear explosion,… https://t.co/3pjvr28tvS"
674,"@mission_russian The part that is missing is that Ukraine was not part of NATO.

Ukraine is a sovereign country that is acting on its own and you are murdering its people.

He is explaining, not approving of your war crimes

Seriously use a 60 yr old event from USSR to justify this? https://t.co/TLuRf9ilDe"
675,"RT @squirrel_doom: Oppose all fascists, unionize, boycott shitty regimes worldwide and don't give war profiteers an inch and maybe one day…"
676,"RT @CarrieBrownTV: The truly horrifying part, this is only the start. Reached out to a Russian friend last night and glad I did, going thro…"
677,RT @MaxAbrahms: Ukraine is becoming a bigger and bigger NATO-Russia proxy war.
678,@BBCNews @BBCWorld if you want peace....prepare for war
679,@likeawildfire_x @jeremycorbyn And that doesn't have to mean war by the way.
680,"ก็ห้อยนักเก็ตไปเลยจะไม่สักสิทธิ์ได้ไง

 #LANEIGExYINWAR
@warwanarat #warwanarat 
War Wanarat https://t.co/AZICu0EEOx"
681,"RT @laurenboebert: Biden says we are psychologically unable to feel happy about how much better he has made things.

Putin is threatening n…"
682,@fclokomotiv Dismissed? He quit. NO TO WAR!
683,"RT @leonidragozin: Russian billionaire/business innovator Oleg Tinkov speaks out:

“Innocent people are dying in Ukraine now. It is unthink…"
684,"RT @washingtonpost: Indian, Algerian students killed in Ukraine; others stranded during Russia’s invasion beg for help 
https://t.co/PYn1pl…"
685,"RT @Waveboywavez: The feminist are very silent at this period of Russia-Ukraine war, no no no this is the time to speak up this is the time…"
686,"RT @walkwith_WAR: อิไอจี ทะมายเพิ่งบอก 
แฟนฉานดูดโตเกียวจนหมดแล้วเนี่ย😍
แฟนจ๋า ฉันมาแล้วจ๊ะ อยู่นี่แล้วน่ะ เขยิบมาใกล้ๆ~~
War Wanarat @warw…"
687,"No one is staying #neutral in this #War 
This is why #European conflicts turn into #WorldWars 
 They can invade Middle East,
Iraq, #Afghanistan #Africa #Asia no one's bats an eye! 
#UkraineRussiaWar https://t.co/I3H7NAqGm5"
688,"Mình 2k8 
Tính mình cũng không cọc cằn, mình khá thoải mái nhưng mà mình ko tha nếu bạn thief tranh hoặc gây war"
689,@RoryStewartUK @GaryLineker @campbellclaret a war criminal who caused death of a million iraqis but now has issue with Putin invading.  White folk never seize to amaze me. what will you be discussing? how to start a new war on 'darkies' so whites dont kill fellow whites?
690,"🔴 #Breaking        

Russian Foreign Ministry: Western countries continue to push Ukraine towards war

#Ukraine  #Russia 
Follow #Sky_Earth4455"
691,"RT @ShiannonC: Herald Sun: 

""Morrison’s response to Russia’s invasion of Ukraine has been strong &amp; it could just win him the election he l…"
692,"RT @apitrends: America thought Vladimir Putin was bluffing, they told Ukraine they would never end up in a war with Russia. 
You poked the…"
693,"RT @Dominic2306: A No Fly Zone enforced by NATO is an act of war that could *easily start A NUCLEAR WAR*. 
It is INSANE &amp; coming from many…"
694,Gak ada yang pengen war... tapi ya kok mancing banget 😔
695,RT @MettaBhavana1: Why is Ben Roberts-Smith not on trail for war crimes and murder?
696,"RT @davidgilmour: Russian soldiers, stop killing your brothers. There will be no winners in this war.

My daughter-in-law is Ukrainian and…"
697,"@ReutersBiz n the name of Sanity we are calling upon the Russian Generals and Admirals to Stop This War and stop the killing of innocent men, women and children in The Ukraine ! https://t.co/Nb21uJOw0g"
698,"RT @jcokechukwu: EU countries have started pouring lethal weapons into Ukraine, including anti tank weapons, anti-aircraft weapons and figh…"
699,"RT @JamesMelville: Here’s a pitch for a dystopian movie.
A pandemic sweeps the planet causing governments to lockdown millions of people an…"
700,"RT @juergenzimmerer: I think I should start a thread about #racist reactions to #Ukraine war.
👉If this sort of xenophobic and white suprema…"
701,"@bullburton I don't support any war but this one has been going on since around 2014 whilst NATO &amp; UN ignored Putin.  The ""US cabal"" poked away, armed Ukraine, funded/built military bases and 12+ biolabs.   NATO didn't do their job, if they did this may have been resolved years ago. https://t.co/Et1QlfLZlc"
702,"putin se jyada gand me khujli godi media ko hai war ka BC.
#UkraineCrisis"
703,"RT @TSEGUMEli: 482 days into the Genocidal war on #Tigray, the Kunama &amp; Irob people are still suffering disparate and existential consequen…"
704,"RT @justinjm1: Oligarchs speaking against the war are important, but they aren't what they were even a few years ago. @cjcmichel⁩ writes ab…"
705,"RT @KyivIndependent: ⚡️Zelensky: A state that commits war crimes against civilians can't be a member of the UN Security Council.

Such a st…"
706,RT @caitoz: If you don't want a very fast and radioactive World War 3 you're a Hitler lover because Putin is Hitler and all our enemies are…
707,RT @sbg1: Russia’s barbaric attack on Kharkiv suggests they have moved to the destroying Ukraine in order to *save* it phase of this hell w…
708,"RT @KyivPost: ""Russian army has no casualties"" (c)
The Ministry of Defense of the Russian Federation will pay 11 thousand rubles to the fam…"
709,"RT @Chris_arnade: Part of the reason the “anti-war” types are so anti war, isn’t because they are all peace loving dreamers (some are), but…"
710,RT @Hermila14171798: It’s imperative that the UK intervene &amp; hold all perpetrators of #TigrayGenocide accountable. Invading forces cont. to…
711,"RT @Femi_Sorry: It's insane that I'm starting a tweet with ""I don't want World War 3 but...""

The idea that we would shoot down Russian pla…"
712,RT @ananavarro: Vladimir Putin is a war criminal and a monster.
713,"RT @somnath1978: Kuwait airIift happened ""after"" the shooting war was over and Iraqis were in control. It took several mths to bring the In…"
714,RT @Reuters: The moment dozens of diplomats from the European Union and United States walked out of a speech by Russian Foreign Minister Se…
715,"RT @jeremycorbyn: Nobody wins a war.

War is a defeat for all of us.

https://t.co/683pEtZnFt"
716,"@BBCHindi no heart of arms 
but Humans have hearts 
and they also have heartbeats. And that heart beats for our country and families 
please stop war https://t.co/REE5byoK7Z"
717,RT @Reuters: CORRECTION: The movement of jailed Russian opposition leader Alexei Navalny called for a campaign of civil disobedience to pro…
718,"RT @olgatokariuk: 'Ukrainian people are asking for the West to protect our sky, asking for a no fly zone. We are getting the response that…"
719,RT @ALANMYERSMEDIA: Locomotive Moscow Manager Markus Gisdol has quit: “I cannot pursue my calling in a country whose leader is responsible…
720,"RT @MartinDaubney: In the old days, it was “right wingers” urging the West to go to war. Now, it’s blue-tick liberals, the BBC, Sky &amp; the s…"
721,RT @PippaCrerar: NEW: Boris Johnson announces any Ukrainian settled in the UK will be allowed *immediate* family members fleeing the war to…
722,RT @PPC_MelissaB: Friendly reminder: Provinces still have emergency powers. Feds are still forcing mandates on the Canadian people and chis…
723,@nypost Lmao everything including war is theater
724,"RT @laurenboebert: Biden says we are psychologically unable to feel happy about how much better he has made things.

Putin is threatening n…"
725,"RT @armolts: “Sangat mengerikan, lucu, angker, dan menyayat hati,  The Girl and the Ghost  adalah kisah intens tentang kesedihan, keluarga,…"
726,RT @AlexKokcharov: @sumlenny 100% agree. People like that are part of the Russian war machine.
727,"RT @VeronicaKoman: The war that will not be televised:

100 more troops were sent to West Papua yesterday.

https://t.co/ZozLEldHwH https:/…"
728,"RT @CBSMornings: Putin put his nuclear forces on high alert over the weekend, raising new fears of nuclear war.

But @AVindman says it’s cr…"
729,"RT @McFaul: Grozny, Aleppo. Kharkiv. Putin only knows one way to wage war — kill the innocent. Disgusting."
730,"RT @tedcruz: The American people didn’t ask for any of this:

Record Inflation
Record border crisis
Closed schools
A war on American energy…"
731,"RT @antonioguterres: In cities around the world, people are taking to the streets and demanding an end to war.

People in Ukraine want and…"
732,"RT @SkyNews: ""We are crying, we don't know where to run""

A question is raised to the PM from a woman who has fled Kyiv. In tears she tells…"
733,"RT @anyaparampil: Clinton says ""no country"" responded to the Soviet invasion of Afghanistan, but that many ""supplied arms, advice, &amp;  advis…"
734,RT @nytimes: President Volodymyr Zelensky of Ukraine pleaded for EU membership for his country in an emotional speech to the European Parli…
735,"@Mehnersmoos Hilfe, Putin wird der nächste Hitler,
ich fühlte mich nach Max Giesingers letztem Hit leer.
(*Erklärung: Ich wollte mich umbringen, weil die Musik so scheiße war)"
736,"RT @Newsweek: 🔴 Ukrainian President Volodymyr Zelensky addresses European Union lawmakers

🔴 At least 16 children have been killed and 45 i…"
737,"RT @ITVNewsPolitics: A Ukrainian reporter broke down as she pleaded with @BorisJohnson for a no-fly-zone over Ukraine

'You’re coming to Po…"
738,Tbh Ukraine does not deserved to Be Messed or Toyed around like this like people are literally DY*NG . And Russia is literally doin this and war isn't a joke.  Like wtf is wrong w/ humanity at this point
739,"RT @carolecadwalla: “NATO is afraid of World War III. But it has already started. And it’s Ukrainian children taking the hit”

Brilliant, i…"
740,"@BareReality But as I said the other day, it should change if we go to war with Russia.
Nobody wants a 'Germany calling' scenario."
741,RT @RichardEngel: Perhaps the biggest risk-calculation/moral dilemma of the war so far. A massive Russian convoy is abt 30 miles from Kyiv.…
742,"RT @JoelMartinRubin: Putin started an illegal war of choice, invading a democracy to overthrow it and install a puppet regime.

Ukrainians…"
743,"RT @djmarkdevlin: This was sent to me today:

“A lady I know has a friend in the Ukraine. The friend was phoned and asked ""what's happening…"
744,"RT @jeremycorbyn: Nobody wins a war.

War is a defeat for all of us.

https://t.co/683pEtZnFt"
745,"RT @IAPonomarenko: Oh guys, fucking hell… 
As the storm of Putin’s war gathered, I was begging my mom to leave Volnovakha. 
She did not wan…"
746,"RT @SanksP: @michaeljknowles -Colonise civilised countries

-Plunge them into poverty

-Call the same civilised countries as uncivilised

-…"
747,"Endlich Zuhause, Mathe Arbeit war ez wie immer, war in 20 Minuten diesmal fertig und ja mal gucken"
748,RT @BriFtsum: The atrocities committed in the 16 months-long war on #Tigray are underreported due to lack of access. Lack of communication…
749,"RT @terrelljstarr: This is quite the harrowing account of what it is like to travel around Ukraine, a country in war, by my bud and @ACEura…"
750,"RT @nytimes: Video verified by The New York Times shows an attack on apartment buildings next to a kindergarten in Kherson, a city that has…"
751,"RT @SkySportsNews: ""The rest of the day is effected by worrying about people dying in a needless war.""

Ralph Hasenhuttl says it has been d…"
752,@RuralConserv Odd how this war launched (if we're to follow your logic) in a bid to unite folk of their own kind with one territory includes the increasingly indiscriminate killing of some of those folk.
753,RT @LuetzowQ: @davidbest95 @LiberalMut Dafür begehen sie seit 2014 in der Ostukraine Kriegsverbrechen die von Amnesty angeprangert werden u…
754,RT @TaneNFT: Make art not War @andrwwang @reli3fxyz 💙💛 https://t.co/OV2OkN6ICd
755,"@TheEconomist Shame on you @TheEconomist 
Don't try to make this war about something which is not!"
756,"RT @INCWaseemAhmad: All earlier Indian Govt did their job, safely evacuating millions of Indians stranded in war zones over the decades. 
I…"
757,RT @Mlat33679688: We #Tigrayans as victims of long war are pleased #Ukraine has got connected through the Starlink satellite. For &gt; 480 day…
758,"RT @CoinDesk: Ukraine opens Polkadot wallet as @gavofyork promises $5 million DOT.

By @thesamreynolds 

https://t.co/MnFKP73bk4"
759,"We shouldn't escalate with a NFZ but we also shouldn't back down either. If Russia threatens war because we're giving the Ukrainians the means to defend themselves, we must stand firm."
760,RT @MerielMyers: Do you think Putin would start a Nuclear war? My anxiety and stress is through the roof at the moment over this!
761,"RT @NewYorker: “Putin went to war against a country that lost eight million people in World War Two,” Dmitry Muratov told David Remnick. “I…"
762,RT @abdallah_fayyad: Pointing out racist/classist double standards in how Western media and governments respond to war in Europe vs the res…
763,"RT @ArgyleLoz: The Russians are using thermobaric and cluster bombs, god alive this isn't war its mass murder, they're suing these monstrou…"
764,"RT @sreemoytalukdar: India has pulled out all stops to evacuate its citizens. Yes, a tragic death has occurred. It is incredibly difficult…"
765,"RT @olliecarroll: Common refrain among Ukrainians — common folk and officials. “We will win, because we don’t have any other choice.” They…"
766,RT @ebonyplusirony: Trevor Noah about war in Europe  @TheDailyShow https://t.co/7wUErNw5CN
767,@DonaldBKipkorir War expert what are saying?
768,"RT @antonioguterres: Humanity cannot afford to be locked in a mindset that dredges up the worst of past centuries. 
 
We need to look forwa…"
769,RT @cspan: Ukrainian Ambassador to the @UN @SergiyKyslytsya reads text messages between a Russian soldier and his mother moments before he…
770,"Indian Student Killed In Russia-Ukraine war | धक्कादायक ! रशिया आणि युक्रेनमधील युद्धात भारताचा पहिला बळी, 'या' राज्यातील विद्यार्थ्यांचा मृत्यु ! 

 @Policenama1 #IndianStudent #RussiaUkraineWar 

https://t.co/oMa7i4fg3y"
771,"RT @mikegalsworthy: An appalling title for an article.

No-one on the side of humanity is having a “good war”. The notion that this is abou…"
772,"Heute vor 2 Jahren war ich im Technikmuseum Speyer. Das war der Anfang von Corona, noch keine Maßnahmen aber mulmiges Gefühl. Da war vor allem Schmierinfektion ein Thema, über Masken hat man nicht einmal gesprochen. https://t.co/TIVgIw8vbW"
773,RT @JessicaShaw: A story about my father's escape during WW2. My heart aches for the families still being uprooted by war.  https://t.co/I4…
774,"First inspired by the war in Ukraine, Medic Inu was created to help the world heal. He is sent on missions around the world to help restore the lives of his fellow canines and people affected by tragedy. https://t.co/fIHdmXZrMz #MedicInu #Ukraine #StandWithUkraine"
775,RT @MichaelRosenYes: I heard that they hope to put Putin on trial for war crimes. Good idea to nab these leaders who invade other countries…
776,@mfankr Lies! This is what Armenians did to Azerbaijani civilians in 1987-1988 before Sumgait. Armenians started the war. https://t.co/yPh49zTS4p
777,"RT @JackyKemigisa: How to cover European countries war like White Media. A thread with some examples for the ""what are your sources "" brill…"
778,"RT @MrMaitra: The last few weeks have made clear three things. 

1. How insane the study of history and IR has turned into and how much Uni…"
779,"RT @somnath1978: Kuwait airIift happened ""after"" the shooting war was over and Iraqis were in control. It took several mths to bring the In…"
780,"RT @eucopresident: More and more countries are engaging in an anti-war coalition. 

Along with people from around the world.
 
With one com…"
781,"RT @bademjanbitch: oh cool we've moved into the ""liberals can only understand world events by weirdly inserting a sexual undertone"" phase o…"
782,"RT @IAPonomarenko: Oh guys, fucking hell… 
As the storm of Putin’s war gathered, I was begging my mom to leave Volnovakha. 
She did not wan…"
783,RT @nico_gaia: 🕊Happy New Month🕊 Welcome March 2022 🕊💞💙💜💞💙💜💞💙💜💞Good morning beautiful Tuesday lovely friends 🕊#Ucraina 🇺🇦🕊🇺🇦🕊🇺🇦🕊🇺🇦 Peace ☮️…
784,Work is what I want to talk about. Is this a social media platform to replace Facebook for people to chit chat about todays news. For god sake give me a break. I am sick and tired of people on this site who have nothing better than to promote the war in U…https://t.co/PqwO1CjsAK
785,RT @vijaygajera: Although I can understand the situation of Indian students who are trapped in Ukraine but see the mindset of some of the s…
786,"RT @IAPonomarenko: Oh guys, fucking hell… 
As the storm of Putin’s war gathered, I was begging my mom to leave Volnovakha. 
She did not wan…"
787,"@das_Virus_ 😱 Hast du dich jetzt selbst infiziert, oder war es einer deiner undankbaren Nachkommen?
Geht es dir gut? Wir brauchen dich! 🤨 Hä? Moment... 🤔 Ich rede mit einem Virus. Was red ich denn da? AB IN DIE ISOLATION! 😬"
788,RT @sbg1: Russia’s barbaric attack on Kharkiv suggests they have moved to the destroying Ukraine in order to *save* it phase of this hell w…
789,"RT @olgatokariuk: 'Ukrainian people are asking for the West to protect our sky, asking for a no fly zone. We are getting the response that…"
790,@GBNEWS Nope. This is not solely the UKs issue - it needs a very different approach. I don’t want a nuclear war thanks.
791,"@ragipsoylu What if Zelensky is lying, so theyll cry too? War is not being emotional. Zelensky is the cause of the whole thing."
792,"RT @eucopresident: More and more countries are engaging in an anti-war coalition. 

Along with people from around the world.
 
With one com…"
793,RT @MatthewStadlen: So we gave Visas to Russian oligarchs but elderly Ukrainians fleeing Putin’s war can’t get in?
794,"@Furanpyon Personally I find Stormblood just my least favourite of all, doesn't mean is bad tho. I'm not a fan of Lyse, but music, locations, how they handle the war and lots of characters from it are amazing and probably some of the best if we don't consider Scions. And of course, Zenos."
795,"RT @AP: Russia Ukraine War: 

A 40-mile convoy of Russian military vehicles is threatening Kyiv as an intense shelling attack targeted Khar…"
796,RT @Praecursator007: EU just declared that Ukraine’s application to the EU will be expedited. Whilst Turkiye applied to join the EU since 1…
797,"RT @laurenboebert: Biden says we are psychologically unable to feel happy about how much better he has made things.

Putin is threatening n…"
798,"RT @MedvedevRussiaE: Today, some French minister has said that they declared an economic war on Russia. Watch your tongue, gentlemen! And d…"
799,"@Hazbeen66 @GerardDelaney39 https://t.co/ieKL3IBg5r 🚨Boris Johnson NUKE Bunker, Up Grade ONE YEAR BEFORE WAR With Russia, MARCH 2021 At A Costs OF £9 Million, Not At All Planned 👇"
800,"RT @SkyNews: ""Do prove that you are with us. Do prove that you will not let us go.""

President Volodymyr Zelenskyy says the Europe Union wi…"
801,"RT @Zerugebre1: We #Tigrayans as victims of long war are pleased #Ukraine has got connected through the Starlink satellite. For &gt; 480 days,…"
802,"In Russland gibt es nicht genügend Gerechte, um diese Kriegsberbrechen, den Massenmord und die Propaganda zu stoppen. Das deutsche Volk war für Hitler mitverantwortlich - das Russische verantwortet #Putin und seine  #Verbrechen. Es sind russische Verbrechen. 

#russland #Ukraine"
803,"RT @TaniaKamenkova: @BBCWorld Hello, world💔
Please understand that no country is safe from war while Putin is ruling Russia. 
The world wil…"
804,"RT @IanRicksecker: Now - back to waiting. Hopefully she can find food for the shelter.

The Red Cross operate in war zones under protection…"
805,"RT @CraigMurrayOrg: @ablokefromleven @CllrKeithHouse We live and learn. Or some of us do. The Iraq war, torture and extraordinary rendition…"
806,"RT @SushmitaDevAITC: It’s tragic to lose a young student Naveen Shekharappa Gyanagoudar in Ukraine. 

Loss of innocent lives is the greates…"
807,@apotheon @ramblingphoton Prohibition worked so well that the War on Drugs™ was the only sensible option.
808,"""Total economic war"" 

Surprising vocabluary from an instructed Germanist like French Finance Minister Bruno Le Maire, provoking massive discomfort 😳, maybe not only in 🇩🇪 ears. 

Strong &amp; hard sanctions do not rule out considered words. https://t.co/rHlkYLnFT6"
809,"@DAaronovitch @Dominic2306 @Arron_banks A bewildering number of traditional left wingers preaching war with Russia today.

Not one of whom will be doing the fighting."
810,"RT @olgatokariuk: 'Ukrainian people are asking for the West to protect our sky, asking for a no fly zone. We are getting the response that…"
811,@mikegalsworthy @spectator She's having a shit war. Caused the Russian nukes threat. Just in it for photo poses. Pathetic.
812,"@colbertlateshow You're absolutely funny and make great shows, but please be mindful that in the 40's there was a world war going on in which over 7 million Ukranian lives were lost as well. No Ukranian grandmother's dads were buying Buicks."
813,@FedorovMykhailo Your tweet was quoted in an article by nytimes https://t.co/CKloGfCfKG
814,"RT @BBCWorld: ""We are here today in the dark shadow cast by Putin's war... a war we did not provoke, a war we did not start""

European Parl…"
815,"RT @gaslitnation: .@AndreaChalupa: “Putin’s war has triggered a massive sea change in Germany’s policy towards Russia.”
Join us on Patreon…"
816,RT @RealRichardBail: Just a word about Canada's Freedom Convoy as it disappears from our minds &amp; memories overtaken by war. These men &amp; wom…
817,RT @Zerugebre1: The atrocities committed in the 16 months-long war on #Tigray are underreported due to lack of access. Lack of communicatio…
818,"Other than the fact that, obviously, nobody outside Ukraine is actually feeling the shelling, why does the shelling need to be recorded live to be felt? 
We have had well documented video for over a decade of the horrors of war, and the videos are timely even if not livestreamed. https://t.co/DKVIrTeo3z"
819,"RT @IAPonomarenko: Oh guys, fucking hell… 
As the storm of Putin’s war gathered, I was begging my mom to leave Volnovakha. 
She did not wan…"
820,"RT @Dominic2306: A No Fly Zone enforced by NATO is an act of war that could *easily start A NUCLEAR WAR*. 
It is INSANE &amp; coming from many…"
821,"@sparkaymark62 @SebastianEPayne In fairness his response was the only reasonable response. Basically, Ni, because that means war with Russia"
822,RT @Scaramucci: Putin is a war criminal.
823,"@nytimes He is correct about Europe and him been the same..
Both want more war and they have absolutely no care about what will happen to Ukraine if there is no cease fire and negotiations..."
824,"RT @slackbastard: Statement on the War in Ukraine by Scholars of Genocide, Nazism and World War II https://t.co/O1lrLeeaES via @jewishjourn…"
825,@K31aMisha @Bug_Bearz Over here people are literally waiting for any news out of kyiv. The economic sanctions against Russia are worldwide. BP and Shell Oil have dropped Rosneft. All russia assets worldwide are frozen. Looks like Putin is being investigated for war crimes.
826,@ChiriyaKhana World War
827,"RT @jacquep: Dear @PreetKGillMP

Some say there is little difference between Labour and the Tories.

On this it appears they are right.

Th…"
828,"RT @tausifmirza_: I request to Indian Government please listen these भारतीय छात्र 

When One Indian &amp; First Indian student Naveen from Karn…"
829,"RT @MothershipSG: Putin could be charged with war crimes, UK warns https://t.co/7MoJt55bd3 https://t.co/sWrajEcf46"
830,"RT @CentreCountyRep: The Penn State Ukrainian Society plans a rally in support of Ukraine Thursday at 5pm at Old Main.
The society says it…"
831,"Well, there goes the GQP war chest. https://t.co/DmGfFPrSCx"
832,"RT @KVajpayaee: #Katyayan
#istandwithrussia #IStandWithPutin 
#UkraineWar #UkraineRussiaWar #UkraineRussiaConflict #RussiaUkraineWar #Russi…"
833,"Crypto Community Rise Against War in Ukraine

https://t.co/KuW5nAiJOb https://t.co/g4vSE0Db0o"
834,"RT @crockpics: U2 released War, February 28, 1983. https://t.co/upH1FBTE81"
835,RT @MartinDiCaro: Podcast: Here's my convo w/ @jeffreyaengel about the war in Eastern Europe. We cover the post-Cold War order President Bu…
836,RT @CNDuk: An excellent explanation of why proposals for a no fly zone couldn't be more dangerous. Do people actually want to have a nuclea…
837,"@GazetteNGR War crime is only for African leaders , and Arab leaders . Caucasians are immune from trials ."
838,"RT @MnarMuh: In 2002, the US passed the Hague Invasion Act that says the US can invade the Netherlands if the International Criminal Court…"
839,"RT @FreefromTorture: Solidarity from Syria to Ukraine.

On the ruins of a home destroyed by Russian bombing in Syria, graffiti artist Aziz…"
840,"RT @carolecadwalla: “NATO is afraid of World War III. But it has already started. And it’s Ukrainian children taking the hit”

Brilliant, i…"
841,"Grow your onlyfans and donate war casualties of ukraine on Instagram.
We help you to grow your OnlyFans at instagram over 12millions+ network 📩 most visit
https://t.co/1zEeYBXjCA https://t.co/dIiW3OSMFs"
842,RT @ManserSylvia: After just 4 days of going into Ukraine he uses the nuclear threat.I think he is a worried man not only due to the togeth…
843,RT @terrelljstarr: It is Day 6 of Putin's war against Ukraine and my friends and I are telling each other we likely have PTSD.
844,"RT @DunsinOyekan: In 2021,the Lord began speaking to me about 2022.He gave me sounds for the season we are entering into across the world a…"
845,"RT @rubinuna: 以下のキャンペーンに賛同をお願いします！「ウクライナへの戦争に反対します！ / STOP WAR IN UKRAINE!」 https://t.co/fa4ItlXfPI @change_jpから
#UkraineRussiaWar 
#NoWarI…"
846,RT @Reuters: CORRECTION: The movement of jailed Russian opposition leader Alexei Navalny called for a campaign of civil disobedience to pro…
847,"RT @FoxNews: US should have done the work 'months ago' to prevent Russia-Ukraine war: Pompeo
https://t.co/zMikfhOiP7"
